min,gp,dist_miles,usg_pct,ts_pct,age,player_height_inches,player_weight,injured_last_season,injury_report_count_last_season,b2b_games,age_x_minutes,weight_x_minutes,b2b_x_minutes,age_x_weight,target_next_season
6.2,13,0.4,0.164,0.464,23.0,76.0,195.0,0.0,0.0,19,142.6,1209.0,117.8,4485.0,0
4.7,19,0.3,0.225,0.452,24.0,76.0,195.0,0.0,0.0,20,112.80000000000001,916.5,94.0,4680.0,0
24.5,72,1.8,0.271,0.493,21.0,78.0,205.0,0.0,0.0,20,514.5,5022.5,490.0,4305.0,2
29.8,30,2.1,0.3,0.494,22.0,78.0,205.0,0.0,0.0,21,655.6,6109.0,625.8000000000001,4510.0,3
24.5,80,1.8,0.16,0.529,25.0,83.0,255.0,0.0,0.0,18,612.5,6247.5,441.0,6375.0,0
16.4,73,1.1,0.12,0.536,26.0,83.0,255.0,0.0,0.0,21,426.4,4182.0,344.4,6630.0,1
14.3,61,1.0,0.151,0.606,27.0,83.0,249.0,0.0,0.0,20,386.1,3560.7000000000003,286.0,6723.0,4
10.8,45,0.8,0.128,0.518,28.0,83.0,249.0,1.0,1.0,16,302.40000000000003,2689.2000000000003,172.8,6972.0,1
12.3,62,0.9,0.126,0.541,22.0,83.0,235.0,0.0,0.0,15,270.6,2890.5,184.5,5170.0,2
11.1,40,0.7,0.176,0.398,21.0,74.0,190.0,0.0,0.0,20,233.1,2109.0,222.0,3990.0,0
10.9,46,0.8,0.173,0.58,25.0,83.0,265.0,0.0,0.0,19,272.5,2888.5,207.1,6625.0,2
24.2,26,1.8,0.184,0.436,25.0,79.0,225.0,0.0,0.0,22,605.0,5445.0,532.4,5625.0,0
12.6,57,0.9,0.122,0.477,25.0,79.0,210.0,0.0,0.0,16,315.0,2646.0,201.6,5250.0,0
4.9,30,0.3,0.106,0.503,29.0,82.0,240.0,0.0,0.0,16,142.10000000000002,1176.0,78.4,6960.0,1
16.1,78,1.2,0.128,0.551,23.0,78.0,235.0,0.0,0.0,16,370.3,3783.5000000000005,257.6,5405.0,1
20.1,82,1.4,0.169,0.517,24.0,78.0,235.0,0.0,0.0,18,482.40000000000003,4723.5,361.8,5640.0,1
31.6,73,2.2,0.181,0.565,25.0,78.0,235.0,1.0,1.0,19,790.0,7426.0,600.4,5875.0,1
32.4,72,2.2,0.169,0.613,26.0,78.0,235.0,1.0,1.0,17,842.4,7614.0,550.8,6110.0,0
21.9,82,1.5,0.146,0.498,24.0,79.0,230.0,0.0,0.0,15,525.5999999999999,5037.0,328.5,5520.0,0
31.5,79,2.1,0.169,0.54,25.0,79.0,230.0,0.0,0.0,19,787.5,7245.0,598.5,5750.0,0
34.7,81,2.3,0.184,0.587,26.0,79.0,230.0,0.0,0.0,20,902.2,7981.000000000001,694.0,5980.0,3
32.5,76,2.1,0.159,0.522,27.0,79.0,230.0,0.0,0.0,17,877.5,7475.0,552.5,6210.0,3
8.7,45,0.6,0.154,0.402,25.0,77.0,220.0,0.0,0.0,19,217.49999999999997,1913.9999999999998,165.29999999999998,5500.0,0
13.5,63,1.0,0.099,0.52,23.0,79.0,225.0,0.0,0.0,19,310.5,3037.5,256.5,5175.0,1
18.9,68,1.3,0.151,0.533,24.0,79.0,240.0,0.0,0.0,21,453.59999999999997,4536.0,396.9,5760.0,0
14.8,59,1.1,0.128,0.629,25.0,79.0,240.0,1.0,1.0,19,370.0,3552.0,281.2,6000.0,4
14.7,38,1.0,0.165,0.565,26.0,79.0,240.0,0.0,0.0,14,382.2,3528.0,205.79999999999998,6240.0,1
15.2,52,1.1,0.169,0.459,21.0,81.0,210.0,0.0,0.0,14,319.2,3192.0,212.79999999999998,4410.0,0
30.0,82,2.1,0.186,0.541,22.0,80.0,217.0,0.0,0.0,21,660.0,6510.0,630.0,4774.0,0
30.1,79,2.1,0.194,0.563,23.0,79.0,225.0,0.0,0.0,21,692.3000000000001,6772.5,632.1,5175.0,1
36.1,79,2.5,0.224,0.56,24.0,80.0,234.0,0.0,0.0,20,866.4000000000001,8447.4,722.0,5616.0,0
30.7,29,2.1,0.227,0.57,25.0,80.0,234.0,1.0,1.0,18,767.5,7183.8,552.6,5850.0,0
9.4,41,0.7,0.21,0.488,23.0,78.0,175.0,0.0,0.0,19,216.20000000000002,1645.0,178.6,4025.0,0
17.0,58,1.2,0.197,0.503,24.0,78.0,175.0,0.0,0.0,21,408.0,2975.0,357.0,4200.0,0
28.7,82,2.0,0.226,0.535,25.0,78.0,175.0,0.0,0.0,16,717.5,5022.5,459.2,4375.0,3
28.4,60,2.0,0.207,0.547,26.0,78.0,175.0,0.0,0.0,17,738.4,4970.0,482.79999999999995,4550.0,0
18.5,80,1.3,0.232,0.559,25.0,80.0,237.0,0.0,0.0,21,462.5,4384.5,388.5,5925.0,0
16.5,68,1.2,0.213,0.543,26.0,80.0,237.0,0.0,0.0,21,429.0,3910.5,346.5,6162.0,1
15.3,75,1.1,0.171,0.575,27.0,80.0,237.0,0.0,0.0,19,413.1,3626.1000000000004,290.7,6399.0,1
10.8,18,0.8,0.162,0.36,28.0,80.0,237.0,1.0,1.0,18,302.40000000000003,2559.6000000000004,194.4,6636.0,1
9.0,8,0.6,0.169,0.586,24.0,84.0,255.0,0.0,0.0,17,216.0,2295.0,153.0,6120.0,2
17.4,41,1.2,0.144,0.551,25.0,84.0,255.0,0.0,0.0,19,434.99999999999994,4437.0,330.59999999999997,6375.0,1
16.1,45,1.1,0.125,0.55,24.0,80.0,225.0,0.0,0.0,19,386.40000000000003,3622.5000000000005,305.90000000000003,5400.0,0
8.7,5,0.6,0.084,0.143,25.0,80.0,225.0,0.0,0.0,20,217.49999999999997,1957.4999999999998,174.0,5625.0,0
18.5,43,1.4,0.14,0.444,24.0,80.0,235.0,0.0,0.0,20,444.0,4347.5,370.0,5640.0,1
17.2,69,1.2,0.181,0.526,24.0,82.0,250.0,0.0,0.0,18,412.79999999999995,4300.0,309.59999999999997,6000.0,0
16.2,51,1.1,0.179,0.55,25.0,82.0,250.0,0.0,0.0,17,405.0,4050.0,275.4,6250.0,0
11.8,65,0.8,0.206,0.52,26.0,82.0,250.0,0.0,0.0,17,306.8,2950.0,200.60000000000002,6500.0,0
15.6,79,1.1,0.182,0.552,27.0,82.0,250.0,0.0,0.0,15,421.2,3900.0,234.0,6750.0,1
12.4,53,0.9,0.123,0.492,25.0,80.0,220.0,0.0,0.0,21,310.0,2728.0,260.40000000000003,5500.0,4
16.8,65,1.2,0.154,0.513,25.0,84.0,260.0,0.0,0.0,19,420.0,4368.0,319.2,6500.0,0
16.9,67,1.1,0.149,0.449,26.0,84.0,270.0,0.0,0.0,16,439.4,4563.0,270.4,7020.0,0
4.4,21,0.3,0.12,0.42,24.0,84.0,251.0,0.0,0.0,15,105.60000000000001,1104.4,66.0,6024.0,2
22.6,77,1.7,0.111,0.57,23.0,80.0,206.0,0.0,0.0,20,519.8000000000001,4655.6,452.0,4738.0,1
25.0,71,1.8,0.154,0.538,24.0,80.0,206.0,0.0,0.0,21,600.0,5150.0,525.0,4944.0,3
28.0,77,2.0,0.157,0.525,25.0,80.0,206.0,1.0,1.0,19,700.0,5768.0,532.0,5150.0,2
19.4,72,1.3,0.197,0.559,28.0,81.0,242.0,0.0,0.0,20,543.1999999999999,4694.799999999999,388.0,6776.0,2
22.3,40,1.6,0.197,0.5,29.0,81.0,242.0,0.0,0.0,19,646.7,5396.6,423.7,7018.0,2
21.3,79,1.5,0.229,0.571,30.0,81.0,242.0,1.0,2.0,14,639.0,5154.6,298.2,7260.0,2
16.2,70,1.1,0.188,0.515,31.0,81.0,245.0,1.0,2.0,18,502.2,3969.0,291.59999999999997,7595.0,2
6.5,41,0.4,0.228,0.621,30.0,80.0,235.0,0.0,0.0,20,195.0,1527.5,130.0,7050.0,0
16.5,50,1.1,0.206,0.468,31.0,80.0,235.0,0.0,0.0,18,511.5,3877.5,297.0,7285.0,0
19.4,66,1.4,0.093,0.642,37.0,75.0,185.0,0.0,0.0,18,717.8,3588.9999999999995,349.2,6845.0,2
17.9,67,1.4,0.113,0.557,38.0,75.0,185.0,1.0,1.0,20,680.1999999999999,3311.4999999999995,358.0,7030.0,2
10.5,63,0.8,0.206,0.452,25.0,78.0,187.0,0.0,0.0,21,262.5,1963.5,220.5,4675.0,4
